$map << EOD
0.28 -0.40 60.20
0.35 -0.35 57.84


0.06 0.30 81.03
0.11 0.38 79.79
0.16 0.31 77.35
0.06 0.30 81.03


0.68 0.18 54.82
0.56 0.15 58.65
0.59 0.23 60.40
0.68 0.18 54.82


-0.27 -0.10 87.31
-0.29 -0.05 90.82
-0.24 -0.06 87.95
-0.27 -0.10 87.31


0.31 0.03 66.58
0.22 0.06 70.79
0.29 0.12 69.37
0.31 0.03 66.58


0.56 0.70 81.90
0.62 0.60 74.33
0.54 0.60 76.26
0.56 0.70 81.90


0.25 -0.14 66.53
0.33 -0.07 64.10
0.34 -0.16 62.02
0.25 -0.14 66.53


0.50 -0.30 52.05
0.49 -0.21 54.57
0.57 -0.23 50.52
0.50 -0.30 52.05


0.26 -0.49 59.19
0.38 -0.44 54.33
0.33 -0.55 53.83
0.26 -0.49 59.19


0.26 -0.22 64.54
0.25 -0.14 66.53
0.34 -0.16 62.02
0.26 -0.22 64.54


0.02 -0.23 75.67
0.06 -0.15 74.70
0.09 -0.22 72.40
0.02 -0.23 75.67


-0.20 -0.02 87.03
-0.21 0.05 87.49
-0.17 0.02 85.45
-0.20 -0.02 87.03


0.63 -0.03 50.99
0.52 -0.03 56.45
0.57 0.05 55.49
0.63 -0.03 50.99


0.38 -0.44 54.33
0.35 -0.35 57.84
0.43 -0.36 53.92
0.38 -0.44 54.33


0.56 -0.64 38.11
0.65 -0.61 35.70
0.65 -0.69 28.67
0.56 -0.64 38.11


-0.03 0.10 80.82
0.04 0.11 78.41
0.01 0.06 78.86
